# gzz component calculated with tessgzz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Tue Mar 22 20:23:11 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
-0.00045 -0.000475 5.0 0.000208419 0.114972 0.306172 -0.0612272 0.0818396 -0.0580036 -0.196812
-0.000425 -0.000475 5.0 0.000225158 0.142642 0.328869 -0.0696411 0.069314 -0.0623076 -0.211956
-0.0004 -0.000475 5.0 0.000243101 0.174803 0.351682 -0.0791344 0.0532966 -0.0666344 -0.228099
-0.000375 -0.000475 5.0 0.000262238 0.211885 0.374049 -0.0897879 0.0333322 -0.070877 -0.245217
-0.00035 -0.000475 5.0 0.000282529 0.254258 0.395242 -0.101663 0.00899867 -0.0748976 -0.263256
-0.000325 -0.000475 5.0 0.000303888 0.302175 0.414361 -0.114793 -0.020049 -0.0785256 -0.282127
-0.0003 -0.000475 5.0 0.00032618 0.355721 0.430328 -0.129168 -0.0540275 -0.0815563 -0.301693
-0.000275 -0.000475 5.0 0.000349204 0.414728 0.441896 -0.144717 -0.092959 -0.0837535 -0.321769
-0.00025 -0.000475 5.0 0.000372694 0.478716 0.447697 -0.1613 -0.136602 -0.084857 -0.342115
-0.000225 -0.000475 5.0 0.000396308 0.546815 0.446297 -0.178687 -0.184382 -0.0845954 -0.362433
-0.0002 -0.000475 5.0 0.000419628 0.617699 0.436299 -0.196546 -0.23533 -0.0827034 -0.382367
-0.000175 -0.000475 5.0 0.000442167 0.68957 0.41647 -0.214445 -0.288057 -0.0789472 -0.401512
-0.00015 -0.000475 5.0 0.00046338 0.760179 0.385903 -0.231854 -0.340754 -0.0731545 -0.419425
-0.000125 -0.000475 5.0 0.000482688 0.826909 0.34417 -0.248166 -0.391263 -0.0652445 -0.435642
-9.99998e-05 -0.000475 5.0 0.000499501 0.886893 0.291458 -0.262727 -0.437197 -0.0552527 -0.449694
-7.49998e-05 -0.000475 5.0 0.000513263 0.937277 0.228691 -0.274888 -0.476126 -0.0433542 -0.461151
-4.99997e-05 -0.000475 5.0 0.000523483 0.975439 0.157537 -0.284061 -0.505806 -0.0298654 -0.469632
-2.49997e-05 -0.000475 5.0 0.000529778 0.999256 0.0803477 -0.289771 -0.524412 -0.0152321 -0.474845
2.91038e-10 -0.000475 5.0 0.000531905 1.00736 -9.59274e-07 -0.291709 -0.530752 1.81857e-07 -0.476605
