# gzz component calculated with tessgzz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyz component calculated with tessgyz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gyy component calculated with tessgyy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxz component calculated with tessgxz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxy component calculated with tessgxy 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gxx component calculated with tessgxx 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
# gz component calculated with tessgz 1.0:
#   local time: Fri Mar 18 20:09:38 2011
#   model file: tess.txt (1 tesseroids)
#   GLQ order: 2 lon / 2 lat / 2 r
#   Use adaptative algorithm: False
-0.9 -0.95 20000 0.00574166 0.00141174 0.00378907 -0.000840124 0.00100277 -0.000796008 -0.00241451
-0.85 -0.95 20000 0.00617873 0.00175297 0.00406952 -0.000951835 0.000846788 -0.000851741 -0.00259975
-0.8 -0.95 20000 0.00664656 0.00214955 0.00435135 -0.00107758 0.000647571 -0.000907528 -0.00279713
-0.75 -0.95 20000 0.00714491 0.00260683 0.00462759 -0.00121836 0.000399506 -0.000961957 -0.00300633
-0.7 -0.95 20000 0.00767267 0.00312931 0.00488928 -0.00137497 9.73966e-05 -0.00101322 -0.00322671
-0.65 -0.95 20000 0.00822759 0.00372015 0.0051253 -0.00154778 -0.000263016 -0.00105908 -0.00345713
-0.6 -0.95 20000 0.00880613 0.00438033 0.00532233 -0.00173662 -0.000684388 -0.00109688 -0.00369594
-0.55 -0.95 20000 0.00940315 0.00510786 0.00546503 -0.00194057 -0.00116699 -0.00112355 -0.00394087
-0.5 -0.95 20000 0.0100117 0.00589682 0.00553647 -0.00215777 -0.00170784 -0.00113572 -0.00418898
-0.45 -0.95 20000 0.0106231 0.00673647 0.00551898 -0.00238519 -0.00229983 -0.00112987 -0.00443663
-0.4 -0.95 20000 0.0112264 0.00761054 0.00539529 -0.00261856 -0.00293103 -0.00110258 -0.00467951
-0.35 -0.95 20000 0.0118092 0.00849695 0.00515018 -0.00285224 -0.00358426 -0.00105084 -0.00491269
-0.3 -0.95 20000 0.0123576 0.00936795 0.00477237 -0.00307936 -0.00423717 -0.000972432 -0.00513078
-0.25 -0.95 20000 0.0128565 0.0101912 0.00425647 -0.00329205 -0.00486306 -0.000866322 -0.00532814
-0.2 -0.95 20000 0.0132908 0.0109315 0.00360482 -0.00348184 -0.00543236 -0.000733008 -0.00549915
-0.15 -0.95 20000 0.0136463 0.0115535 0.0028287 -0.00364033 -0.00591495 -0.000574776 -0.00563853
-0.1 -0.95 20000 0.0139102 0.0120247 0.0019487 -0.00375985 -0.00628296 -0.000395763 -0.0057417
-0.05 -0.95 20000 0.0140728 0.0123188 0.000993931 -0.00383424 -0.00651369 -0.000201796 -0.00580511
8.881784197e-16 -0.95 20000 0.0141277 0.0124188 -1.78514e-17 -0.00385949 -0.00659233 3.61986e-18 -0.0058265
0.05 -0.95 20000 0.0140728 0.0123188 -0.000993931 -0.00383424 -0.00651369 0.000201796 -0.00580511
0.1 -0.95 20000 0.0139102 0.0120247 -0.0019487 -0.00375985 -0.00628296 0.000395763 -0.0057417
0.15 -0.95 20000 0.0136463 0.0115535 -0.0028287 -0.00364033 -0.00591495 0.000574776 -0.00563853
0.2 -0.95 20000 0.0132908 0.0109315 -0.00360482 -0.00348184 -0.00543236 0.000733008 -0.00549915
0.25 -0.95 20000 0.0128565 0.0101912 -0.00425647 -0.00329205 -0.00486306 0.000866322 -0.00532814
0.3 -0.95 20000 0.0123576 0.00936795 -0.00477237 -0.00307936 -0.00423717 0.000972432 -0.00513078
0.35 -0.95 20000 0.0118092 0.00849695 -0.00515018 -0.00285224 -0.00358426 0.00105084 -0.00491269
